gender,TenureGroup,MCGroup,TCGroup,Churned
Male,0,0,0,0
Female,0,0,0,1
Female,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,1
Female,0,0,0,0
Male,0,0,0,1
Male,0,0,0,1
Male,0,0,0,0
Male,0,0,0,1
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Male,0,0,0,0
Female,0,0,0,1
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,1
Male,0,0,0,1
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,1
Male,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Female,0,0,0,0
Male,0,0,0,0
Male,0,0,0,0
Female,0,0,0,0
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,1
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Male,0,1,0,1
Male,0,1,0,1
Male,0,1,0,1
Male,0,1,0,1
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,1
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,1
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,1
Female,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,1
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Male,0,1,0,1
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,1
Male,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,1
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Male,0,1,0,1
Female,0,1,0,1
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,1
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Female,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,1,0,0
Male,0,2,0,1
Female,0,2,0,0
Male,0,2,0,0
Male,0,2,0,0
Female,0,2,0,1
Female,0,2,0,1
Male,0,2,0,1
Female,0,2,0,1
Female,0,2,0,0
Male,0,2,0,0
Male,0,2,0,0
Male,0,2,0,0
Male,0,2,0,0
Male,0,2,0,0
Male,0,2,0,1
Male,0,2,0,0
Male,0,2,0,1
Male,0,2,0,1
Male,0,2,0,1
Female,0,2,0,1
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Male,0,2,0,0
Male,0,2,0,1
Female,0,2,0,1
Male,0,2,0,0
Male,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Male,0,2,0,0
Female,0,2,0,0
Female,0,2,0,0
Male,0,2,0,0
Female,0,2,0,1
Male,0,2,0,0
Male,0,2,0,0
Female,0,2,0,1
Female,0,2,0,1
Female,0,2,0,1
Female,0,2,0,1
Male,0,2,0,1
Female,0,2,0,0
Male,0,2,0,1
Female,0,2,0,0
Female,0,2,0,1
Male,0,2,0,1
Female,0,2,0,1
Female,0,2,0,1
Female,0,2,0,1
Female,0,2,0,1
Female,0,2,0,0
Female,0,2,0,1
Female,0,2,0,1
Male,0,2,0,1
Female,0,2,0,0
Male,0,2,0,0
Male,0,2,0,1
Female,0,2,0,0
Male,0,2,0,1
Male,0,2,0,1
Male,0,2,0,0
Male,0,2,0,1
Male,0,2,0,1
Female,0,2,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,1
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,1
Female,0,3,0,1
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Female,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,1
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,1
Male,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,1
Female,0,3,0,1
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,1
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,1
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Female,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,1
Female,0,3,0,1
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Female,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,1
Female,0,3,0,1
Female,0,3,0,1
Female,0,3,0,1
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,1
Female,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,1
Female,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Male,0,3,0,0
Female,0,3,0,1
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,1
Female,0,3,0,0
Female,0,3,0,0
Male,0,3,0,1
Male,0,3,0,1
Female,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,0
Female,0,3,0,1
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Male,0,3,0,0
Female,0,3,0,1
Female,0,4,0,0
Male,0,4,0,1
Female,0,4,0,1
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,1
Female,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,1
Female,0,4,0,1
Female,0,4,0,1
Male,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Male,0,4,0,1
Male,0,4,0,1
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,0
Male,0,4,0,1
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,1
Female,0,4,0,1
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,0
Male,0,4,0,1
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Female,0,4,0,1
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Female,0,4,0,1
Male,0,4,0,1
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,1
Female,0,4,0,1
Male,0,4,0,1
Male,0,4,0,1
Female,0,4,0,1
Female,0,4,0,1
Male,0,4,0,0
Female,0,4,0,1
Female,0,4,0,1
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Male,0,4,0,1
Female,0,4,0,1
Male,0,4,0,0
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,1
Male,0,4,0,1
Male,0,4,0,0
Female,0,4,0,1
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Female,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Female,0,4,0,1
Male,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Female,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,1
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Male,0,4,0,1
Male,0,4,0,0
Male,0,4,0,0
Male,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Female,0,4,0,0
Female,0,4,0,0
Male,0,4,0,1
Female,0,5,0,0
Female,0,5,0,0
Female,0,5,0,0
Male,0,5,0,0
Male,0,5,0,0
Female,0,5,0,0
Female,0,5,0,1
Male,0,5,0,0
Male,0,5,0,0
Male,0,5,0,0
Female,0,5,0,0
Male,0,5,0,0
Female,0,5,0,1
Male,0,5,0,1
Female,0,5,0,0
Female,0,5,0,1
Female,0,5,0,0
Male,0,5,0,1
Male,0,5,0,1
Male,0,5,0,0
Male,0,5,0,0
Male,0,5,0,0
Male,0,5,0,0
Female,0,5,0,1
Female,0,5,0,0
Female,0,5,0,1
Male,0,5,0,0
Female,0,5,0,0
Male,0,5,0,1
Female,0,5,0,0
Male,0,5,0,1
Female,0,5,0,1
Female,0,5,0,1
Female,0,5,0,0
Female,0,5,0,0
Female,0,5,0,1
Male,0,5,0,0
Male,0,5,0,0
Male,0,5,0,0
Male,0,5,0,1
Female,0,5,0,1
Female,0,5,0,0
Female,0,5,0,0
Female,0,5,0,0
Female,0,5,0,0
Female,0,5,0,0
Male,0,5,0,0
Female,0,5,0,1
Female,0,5,0,0
Male,0,5,0,0
Female,0,5,0,0
Female,0,5,0,0
Female,0,5,0,0
Male,0,5,0,1
Female,0,5,0,1
Female,0,5,0,1
Female,0,5,0,0
Male,0,5,0,0
Male,0,5,0,0
